clean_provider_group,clean_provider_model_class,stabilization_tier,providers,revenue_use_for_model,total_net_patient_revenue,total_gross_patient_revenue,total_net_outpatient_exposure,total_uncompensated_care,uc_burden_available,median_uc_to_npr,mean_uc_to_npr,diagnostic_margin_available,diagnostic_median_operating_margin_candidate,diagnostic_severe_margin_stress,stabilization_eligible_bounded,annual_transition_support_cap_model
Children's / pediatric,Children's / pediatric hospital,Tier 2 - moderate transition support,82,72,5976418421,22911831209,2883100874.0809,98870129,71,0,0.00713155321406303,72,0.049586594142253,22,82,28831008.740809
Children's / pediatric,Children's / pediatric hospital,Tier 3 - high transition support,1,1,175603152,751259822,77947169.4043469,22527113,1,0.12828421781404,0.12828421781404,1,-0.0284631239133374,0,1,1558943.38808694
General acute / academic,Academic / major medical center,Tier 0 - not eligible,31,31,62720588160,218478704865,32547352419.371,1151261207,31,0.0162256740620651,0.0201920416954471,31,-0.075135756794045,20,0,0
General acute / academic,Academic / major medical center,Tier 2 - moderate transition support,7,7,7127367720,27378172049,3419554584.18539,476607505,7,0.0739414466054277,0.0701953817044191,7,-0.10927622578937,5,7,34195545.8418538
General acute / academic,Academic / major medical center,Tier 3 - high transition support,1,1,858792817,3779621150,319852128.416983,92394486,1,0.107586468087564,0.107586468087564,1,-0.200009799496159,1,1,6397042.56833966
General acute / academic,Academic / major medical center,Tier 4 - critical transition support,1,1,13718392,21942501,11665991.234492,2271770,1,0.165600312339814,0.165600312339814,1,0.0441263595783792,0,1,349979.73703476
General acute / academic,Large hospital misclassified as CAH,Tier 0 - not eligible,49,49,8077580487,28202786635,2472047243.4975,97242385,49,0,0.00452677803122627,49,-1,47,0,0
General acute / academic,Large hospital misclassified as CAH,Tier 2 - moderate transition support,4,4,809967175,4444109294,422266512.133338,56642806,4,0.0693597771243003,0.0694902862363117,4,-0.063110643653856,2,4,4222665.12133338
General acute / academic,Short-term acute/general hospital,Tier 0 - not eligible,383,369,135716608941,556037031604,73372510355.1823,3461006540,369,0.0258473786088509,0.0264560241950841,380,-0.00598591732969311,127,0,0
General acute / academic,Short-term acute/general hospital,Tier 2 - moderate transition support,96,96,19361924776,98735521744,10793036364.3868,1268543538,96,0.0660666479998931,0.070260588762838,96,0.00277221947028262,35,96,107930363.643868
General acute / academic,Short-term acute/general hospital,Tier 3 - high transition support,34,34,4006973678,23208905234,2231610571.23458,466434107,34,0.116869391454276,0.120012422120265,34,-0.0288693239553828,16,34,44632211.4246917
General acute / academic,Short-term acute/general hospital,Tier 4 - critical transition support,12,12,1276090367,7963171298,640325906.267701,283489021,12,0.190887658088238,0.19577683982671,12,0.121322016882475,0,12,19209777.188031
Rural / CAH / IHS,CAH candidate - internally safe,Tier 2 - moderate transition support,14,14,378332859,705988321,195697038.119238,5889452,14,0.00224070623333799,0.00994201242146322,14,-0.468167391832647,13,14,1956970.38119238
Rural / CAH / IHS,CAH candidate - internally safe,Tier 3 - high transition support,2,2,44126760,114291493,27996735.7176487,5670095,2,0.132058630985178,0.132058630985178,2,-0.341739446008301,2,2,559934.714352973
Rural / CAH / IHS,Rural primary care / IHS-like hospital,Tier 2 - moderate transition support,52,52,10694909122,22372002249,3882235891.08545,100740728,52,0,0.00512439811777465,52,-1,42,52,38822358.9108545
Specialty / behavioral / rehab,Non-CAH specialty/other in CAH bucket,Tier 0 - not eligible,18,18,792690393,831706423,221910352.160906,0,18,0,0,18,-1,15,0,0
Specialty / behavioral / rehab,Non-CAH specialty/other in CAH bucket,Tier 1 - monitoring / low support,1,1,13285064,40824472,11042041.4068599,47003,1,0.00353803338847295,0.00353803338847295,1,-0.643163488567346,1,1,55210.2070342994
Specialty / behavioral / rehab,Non-CAH specialty/other in CAH bucket,Tier 2 - moderate transition support,7,7,748890266,2798588963,564302098.791816,39303619,7,0.05060877583192,0.0527885322738096,7,-0.00793408847769737,3,7,5643020.98791816
Specialty / behavioral / rehab,Non-CAH specialty/other in CAH bucket,Tier 3 - high transition support,2,2,273919856,943326868,165874813.821857,29811612,2,0.11864484855168,0.11864484855168,2,-0.0861115930438277,2,2,3317496.27643714
Specialty / behavioral / rehab,Non-CAH specialty/other in CAH bucket,Tier 4 - critical transition support,2,2,44424041,267194316,21264079.5995952,26527862,2,0.641104389312829,0.641104389312829,2,0.185789728702261,1,2,637922.387987856
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,Tier 0 - not eligible,94,92,4580422491,7507563634,618017443.842891,0,92,0,0,93,-0.915478797785509,89,0,0
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,Tier 1 - monitoring / low support,1,1,104729755,104729755,10472975.5,38373,1,0.000366400169655701,0.000366400169655701,1,-1,1,1,52364.8775
Specialty / behavioral / rehab,Rehab / LTCH / specialty hospital,Tier 0 - not eligible,14,14,955520527,2066554718,151527783.291773,0,14,0,0,14,-0.0941365932517277,11,0,0
Specialty / behavioral / rehab,Rehab / LTCH / specialty hospital,Tier 2 - moderate transition support,4,4,166122128,505100701,92988324.6570257,2454029,4,0.0105972927381598,0.0125026243294702,4,-0.176651576316905,2,4,929883.246570257
