clean_provider_group,clean_provider_model_class,providers,providers_in_model,total_net_patient_revenue,total_gross_patient_revenue,total_outpatient_exposure_used,total_outpatient_repricing_pressure,total_uncompensated_care_offset,total_stabilization_support,total_net_provider_impact,net_impact_pct_of_total_npr,median_provider_impact_pct_of_npr,providers_negative_net_impact,providers_positive_net_impact,providers_large_negative_net_impact,stabilization_eligible,diagnostic_margin_stress_tier_3_or_4
Children's / pediatric,Children's / pediatric hospital,83,73,6152021573,23663091031,2961048043.48525,-296104804.348525,30382851.5,30389952.1288959,-235332000.719629,-0.0382527918550309,-0.0405,71,2,20,83,22
General acute / academic,Academic / major medical center,40,40,70720467089,249658440565,36298425123.2079,-3629842512.32079,430633742,40942568.1472283,-3158266202.17356,-0.0446584465880148,-0.0395149788196825,40,0,8,9,26
General acute / academic,Large hospital misclassified as CAH,53,53,8887547662,32646895929,2894313755.63084,-289431375.563084,38471297.75,4222665.12133338,-246737412.691751,-0.0277621479034889,-0.01,53,0,7,4,49
General acute / academic,Short-term acute/general hospital,525,511,160361597762,685944629880,87037483197.0714,-8703748319.70714,1369868301.5,171772352.25659,-7162107665.95054,-0.0446622368815516,-0.0486438084835253,507,10,241,142,178
Rural / CAH / IHS,CAH candidate - internally safe,16,16,422459619,820279814,223693773.836886,-22369377.3836886,2889886.75,2516905.09554535,-16962585.5381433,-0.0401519690291234,-0.0407881155859064,14,2,7,16,15
Rural / CAH / IHS,Rural primary care / IHS-like hospital,52,52,10694909122,22372002249,3882235891.08545,-388223589.108545,25185182,38822358.9108545,-324216048.197691,-0.0303149886080622,-0.027,52,0,3,52,42
Specialty / behavioral / rehab,Non-CAH specialty/other in CAH bucket,30,30,1873209620,4881641042,984393385.781034,-98439338.5781034,23922524,9653649.85937745,-64863164.7187259,-0.0346267518734641,-0.01,28,2,8,12,22
Specialty / behavioral / rehab,Psychiatric / behavioral hospital,95,93,4685152246,7612293389,628490419.342891,-62849041.9342891,9593.25,52364.8775,-62787083.8067891,-0.0134012899709704,-0.01,93,0,24,1,90
Specialty / behavioral / rehab,Rehab / LTCH / specialty hospital,18,18,1121642655,2571655419,244516107.948799,-24451610.7948799,613507.25,929883.246570257,-22908220.2983097,-0.0204238134099043,-0.0133796900359017,18,0,2,4,13
