clean_provider_group,provider_impact_pct_bucket,providers,total_net_patient_revenue,total_net_provider_impact,median_provider_impact_pct_of_npr
All modeled providers,<= -10%,13,49049623,-10663886.86,-0.182486732515866
All modeled providers,-10% to -5%,307,78034287841,-4772105884.04741,-0.0650340957873403
All modeled providers,-5% to -2.5%,356,157706160655,-6179780722.00677,-0.0399485977897101
All modeled providers,-2.5% to -1%,134,21351099173,-351148876.25642,-0.01
All modeled providers,-1% to 0%,66,6594816890,-25206748.9659543,-0.000720191174254454
All modeled providers,0% to 1%,4,436010407,2681353.45893732,0.00775873906250527
All modeled providers,1% to 2.5%,3,159367089,2507119.56210062,0.013025199126581
All modeled providers,2.5% to 5%,2,570180809,26232920.0903709,0.0457384494023084
All modeled providers,> 10%,1,18034861,3944320.68,0.218705355145238
Children's / pediatric,-10% to -5%,20,2173722150,-141591793.841859,-0.0710229054895933
Children's / pediatric,-5% to -2.5%,35,1719198435,-66651515.5838979,-0.0405
Children's / pediatric,-2.5% to -1%,7,1760179580,-25450776.8085569,-0.0158919296622628
Children's / pediatric,-1% to 0%,9,393555618,-1751302.89207528,-0.00821074990871257
Children's / pediatric,0% to 1%,2,105365790,113388.406760365,0.00468487037271974
General acute / academic,<= -10%,1,4712353,-550515.24,-0.116823854240122
General acute / academic,-10% to -5%,255,74481709532,-4537637335.18431,-0.0642563793810463
General acute / academic,-5% to -2.5%,260,144896102784,-5775245006.88484,-0.0404713691448688
General acute / academic,-2.5% to -1%,63,15011243671,-272254555.518361,-0.01
General acute / academic,-1% to 0%,21,4610546387,-20281342.754336,-0.00262080865195449
General acute / academic,0% to 1%,1,277840789,2158879.25417695,0.00777020271914414
General acute / academic,1% to 2.5%,2,143665368,2304814.41946362,0.0147771726880674
General acute / academic,2.5% to 5%,1,543791629,25033760.8423425,0.0460355759583466
Rural / CAH / IHS,-10% to -5%,10,387340773,-25894659.3829289,-0.0668342505973803
Rural / CAH / IHS,-5% to -2.5%,47,10302261989,-310649852.545094,-0.027
Rural / CAH / IHS,-2.5% to -1%,3,252392634,-4991895.2679762,-0.0200588339836687
Rural / CAH / IHS,-1% to 0%,6,106867796,-253617.480472286,-0.00456648431020359
Rural / CAH / IHS,0% to 1%,1,52803828,409085.798,0.00774727540586641
Rural / CAH / IHS,1% to 2.5%,1,15701721,202305.142636999,0.012884265529683
Specialty / behavioral / rehab,<= -10%,12,44337270,-10113371.62,-0.200436655752437
Specialty / behavioral / rehab,-10% to -5%,22,991515386,-66982095.6383121,-0.07538869756429
Specialty / behavioral / rehab,-5% to -2.5%,14,788597447,-27234346.9929441,-0.0350246020386811
Specialty / behavioral / rehab,-2.5% to -1%,61,4327283288,-48451648.6615262,-0.01
Specialty / behavioral / rehab,-1% to 0%,30,1483847089,-2920485.83907065,-1.4130628539852e-05
Specialty / behavioral / rehab,2.5% to 5%,1,26389180,1199159.24802834,0.0454413228462702
Specialty / behavioral / rehab,> 10%,1,18034861,3944320.68,0.218705355145238
